Part,Description,Value,Case,Power,Supplier 1,Supplier Part Number 1,Library Path,Library Ref,Footprint Path,Footprint Ref,Company,Comment
RES0805_2.61,"RES 0805 2.61Ohm 1/8W",2.61,0805,1/8,Digikey,541-2.61CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.67,"RES 0805 2.67Ohm 1/8W",2.67,0805,1/8,Digikey,541-2.67CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.74,"RES 0805 2.74Ohm 1/8W",2.74,0805,1/8,Digikey,541-2.74CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.80,"RES 0805 2.80Ohm 1/8W",2.80,0805,1/8,Digikey,541-2.8CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.87,"RES 0805 2.87Ohm 1/8W",2.87,0805,1/8,Digikey,541-2.87CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.94,"RES 0805 2.94Ohm 1/8W",2.94,0805,1/8,Digikey,541-2.94CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.01,"RES 0805 3.01Ohm 1/8W",3.01,0805,1/8,Digikey,541-3.01CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.09,"RES 0805 3.09Ohm 1/8W",3.09,0805,1/8,Digikey,541-3.09CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.16,"RES 0805 3.16Ohm 1/8W",3.16,0805,1/8,Digikey,541-3.16CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.24,"RES 0805 3.24Ohm 1/8W",3.24,0805,1/8,Digikey,541-3.24CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.32,"RES 0805 3.32Ohm 1/8W",3.32,0805,1/8,Digikey,541-3.32CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.40,"RES 0805 3.40Ohm 1/8W",3.40,0805,1/8,Digikey,541-3.4CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.48,"RES 0805 3.48Ohm 1/8W",3.48,0805,1/8,Digikey,541-3.48CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.57,"RES 0805 3.57Ohm 1/8W",3.57,0805,1/8,Digikey,541-3.57CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.65,"RES 0805 3.65Ohm 1/8W",3.65,0805,1/8,Digikey,541-3.65CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.74,"RES 0805 3.74Ohm 1/8W",3.74,0805,1/8,Digikey,541-3.74CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.83,"RES 0805 3.83Ohm 1/8W",3.83,0805,1/8,Digikey,541-3.83CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_3.92,"RES 0805 3.92Ohm 1/8W",3.92,0805,1/8,Digikey,541-3.92CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.02,"RES 0805 4.02Ohm 1/8W",4.02,0805,1/8,Digikey,541-4.02CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.12,"RES 0805 4.12Ohm 1/8W",4.12,0805,1/8,Digikey,541-4.12CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.22,"RES 0805 4.22Ohm 1/8W",4.22,0805,1/8,Digikey,541-4.22CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.32,"RES 0805 4.32Ohm 1/8W",4.32,0805,1/8,Digikey,541-4.32CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.42,"RES 0805 4.42Ohm 1/8W",4.42,0805,1/8,Digikey,541-4.42CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.53,"RES 0805 4.53Ohm 1/8W",4.53,0805,1/8,Digikey,541-4.53CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.64,"RES 0805 4.64Ohm 1/8W",4.64,0805,1/8,Digikey,541-4.64CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.75,"RES 0805 4.75Ohm 1/8W",4.75,0805,1/8,Digikey,541-4.75CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.87,"RES 0805 4.87Ohm 1/8W",4.87,0805,1/8,Digikey,541-4.87CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_4.99,"RES 0805 4.99Ohm 1/8W",4.99,0805,1/8,Digikey,541-4.99CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.11,"RES 0805 5.11Ohm 1/8W",5.11,0805,1/8,Digikey,541-5.11CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.23,"RES 0805 5.23Ohm 1/8W",5.23,0805,1/8,Digikey,541-5.23CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.36,"RES 0805 5.36Ohm 1/8W",5.36,0805,1/8,Digikey,541-5.36CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.49,"RES 0805 5.49Ohm 1/8W",5.49,0805,1/8,Digikey,541-5.49CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.62,"RES 0805 5.62Ohm 1/8W",5.62,0805,1/8,Digikey,541-5.62CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.76,"RES 0805 5.76Ohm 1/8W",5.76,0805,1/8,Digikey,541-5.76CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_5.90,"RES 0805 5.90Ohm 1/8W",5.90,0805,1/8,Digikey,541-5.9CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.04,"RES 0805 6.04Ohm 1/8W",6.04,0805,1/8,Digikey,541-6.04CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.19,"RES 0805 6.19Ohm 1/8W",6.19,0805,1/8,Digikey,541-6.19CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.34,"RES 0805 6.34Ohm 1/8W",6.34,0805,1/8,Digikey,541-6.34CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.49,"RES 0805 6.49Ohm 1/8W",6.49,0805,1/8,Digikey,541-6.49CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.65,"RES 0805 6.65Ohm 1/8W",6.65,0805,1/8,Digikey,541-6.65CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.81,"RES 0805 6.81Ohm 1/8W",6.81,0805,1/8,Digikey,541-6.81CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_6.98,"RES 0805 6.98Ohm 1/8W",6.98,0805,1/8,Digikey,541-6.98CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_7.15,"RES 0805 7.15Ohm 1/8W",7.15,0805,1/8,Digikey,541-7.15CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_7.32,"RES 0805 7.32Ohm 1/8W",7.32,0805,1/8,Digikey,541-7.32CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_7.50,"RES 0805 7.50Ohm 1/8W",7.50,0805,1/8,Digikey,541-7.5CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_7.68,"RES 0805 7.68Ohm 1/8W",7.68,0805,1/8,Digikey,541-7.68CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_7.87,"RES 0805 7.87Ohm 1/8W",7.87,0805,1/8,Digikey,541-7.87CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_8.06,"RES 0805 8.06Ohm 1/8W",8.06,0805,1/8,Digikey,541-8.06CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
